timestamp,open,high,low,close,volume
1763830800,128.21,128.45,127.61,127.92,44152.149
1763831700,127.92,128.13,127.44,127.97,23483.894
1763832600,127.98,127.98,127.43,127.54,22184.219
1763833500,127.53,127.71,127.3,127.61,32916.105
1763834400,127.61,127.95,127.42,127.83,23063.743
1763835300,127.83,128.06,127.72,127.92,16747.631
1763836200,127.93,127.96,127.41,127.75,14460.06
1763837100,127.76,128.01,127.59,127.77,14449.526
1763838000,127.78,128.09,127.46,127.76,15085.213
1763838900,127.77,127.9,127.14,127.22,30628.026
1763839800,127.23,127.35,126.79,126.97,19381.484
1763840700,126.98,127.53,126.9,127.2,11161.847
1763841600,127.2,127.52,127.04,127.43,13121.071
1763842500,127.42,127.64,127.06,127.32,13996.807
1763843400,127.33,127.33,126.42,126.46,15875.964
1763844300,126.47,126.71,126.1,126.45,18771.06
1763845200,126.44,126.84,126.32,126.42,13448.634
1763846100,126.41,126.67,126.16,126.41,8962.341
1763847000,126.41,126.52,126.12,126.43,9258.014
1763847900,126.44,126.67,126.28,126.64,7285.561
1763848800,126.64,127.05,126.2,127.0,14449.114
1763849700,127.0,127.4,126.94,127.14,15512.634
1763850600,127.13,127.58,127.04,127.37,13216.531
1763851500,127.37,128.92,127.34,128.25,59866.245
1763852400,128.24,128.47,127.7,127.95,35546.183
1763853300,127.95,128.0,127.3,127.7,14402.534
1763854200,127.7,128.13,127.51,127.66,21824.883
1763855100,127.66,127.82,127.5,127.59,10003.509
1763856000,127.6,128.17,127.56,128.15,14474.46
1763856900,128.14,128.65,127.99,128.34,30090.994
1763857800,128.34,128.4,127.94,128.09,15744.517
1763858700,128.09,128.24,127.62,128.03,13297.324
1763859600,128.04,128.57,127.88,128.5,19686.226
1763860500,128.49,129.05,128.35,128.77,45302.019
1763861400,128.78,129.53,128.67,129.49,72845.715
1763862300,129.48,129.86,129.2,129.46,61143.963
1763863200,129.46,130.0,129.11,129.51,37903.298
1763864100,129.51,130.2,129.39,129.92,29900.122
1763865000,129.92,130.64,129.88,130.49,40936.23
1763865900,130.48,130.8,130.01,130.05,29087.093
1763866800,130.04,130.41,129.76,129.83,27289.006
1763867700,129.83,129.94,129.38,129.54,19438.672
1763868600,129.53,130.03,129.45,129.84,19017.974
1763869500,129.84,129.96,129.5,129.96,14870.853
1763870400,129.95,130.95,129.95,130.81,45288.399
1763871300,130.8,131.9,130.69,130.87,61173.87
1763872200,130.88,131.33,130.59,130.71,24187.188
