timestamp,open,high,low,close,volume
1763830800,1.9443,1.9452,1.9334,1.9383,1574870.6
1763831700,1.9382,1.9418,1.9317,1.9399,950901.2
1763832600,1.9399,1.9408,1.9297,1.9307,470164.6
1763833500,1.9306,1.9316,1.9272,1.9302,528677.6
1763834400,1.9303,1.9333,1.9262,1.9271,679064.5
1763835300,1.927,1.9281,1.9235,1.9281,689357.9
1763836200,1.928,1.9282,1.9217,1.9265,415160.7
1763837100,1.9264,1.9321,1.9252,1.9318,342590.2
1763838000,1.9319,1.9394,1.9307,1.9369,288986.1
1763838900,1.937,1.9398,1.9278,1.929,343832.7
1763839800,1.929,1.9319,1.9254,1.9265,283575.5
1763840700,1.9265,1.9349,1.926,1.9278,364967.8
1763841600,1.9277,1.9345,1.926,1.9337,333025.4
1763842500,1.9337,1.9368,1.929,1.9342,356606.6
1763843400,1.9342,1.9347,1.9238,1.9239,513050.4
1763844300,1.924,1.9285,1.9203,1.9279,495689.9
1763845200,1.9279,1.9342,1.9253,1.9263,328614.7
1763846100,1.9262,1.9329,1.9258,1.9306,294143.7
1763847000,1.9306,1.9318,1.9249,1.9306,474828.2
1763847900,1.9306,1.9373,1.93,1.9365,409215.3
1763848800,1.9364,1.9405,1.9293,1.9405,484813.7
1763849700,1.9405,1.9464,1.9385,1.9413,1072532.9
1763850600,1.9412,1.9502,1.9399,1.9474,645552.3
1763851500,1.9474,1.9671,1.9467,1.9582,1910560.6
1763852400,1.9582,1.9614,1.9486,1.9523,1319458.2
1763853300,1.9522,1.9534,1.9452,1.9518,607600.3
1763854200,1.9518,1.9576,1.9493,1.9524,414194.2
1763855100,1.9523,1.9542,1.9485,1.9509,274243.1
1763856000,1.9508,1.9565,1.9497,1.9553,491242.1
1763856900,1.9552,1.9613,1.95,1.959,1174913.1
1763857800,1.9589,1.9597,1.9508,1.9583,676659.7
1763858700,1.9583,1.9631,1.9548,1.96,576093.2
1763859600,1.96,1.9705,1.9574,1.9686,1088796.4
1763860500,1.9686,1.9761,1.9647,1.9743,1062808.9
1763861400,1.9743,2.0024,1.9725,1.9972,4129716.4
1763862300,1.9971,2.0055,1.9901,1.9999,2716390.1
1763863200,2.0,2.0082,1.9962,2.007,2130469.0
1763864100,2.0069,2.0236,2.0059,2.0229,2975303.3
1763865000,2.0229,2.0505,2.0207,2.0375,6907375.4
1763865900,2.0375,2.0464,2.0289,2.0319,2574051.3
1763866800,2.0319,2.0464,2.0226,2.035,2001157.8
1763867700,2.0349,2.0376,2.0282,2.0309,1482682.6
1763868600,2.0309,2.0351,2.0257,2.0314,1031127.6
1763869500,2.0313,2.0335,2.0269,2.0307,723015.4
1763870400,2.0307,2.0522,2.0302,2.051,2513062.0
1763871300,2.0509,2.0742,2.0476,2.0584,4622814.3
1763872200,2.0584,2.076,2.0554,2.0654,2631662.6
1763873100,2.0654,2.072,2.0624,2.0654,2328161.9
1763874000,2.0654,2.0655,2.0535,2.0568,1735188.9
1763874900,2.0568,2.057,2.0463,2.0485,1827414.6
1763875800,2.0485,2.0517,2.039,2.0496,2584365.8
1763876700,2.0496,2.0612,2.0487,2.0565,1507638.9
1763877600,2.0566,2.0592,2.0494,2.0509,830625.4
1763878500,2.0509,2.0513,2.0413,2.0441,1090324.1
1763879400,2.0441,2.0455,2.0385,2.0421,1326089.8
1763880300,2.042,2.0448,2.0361,2.0367,1073356.6
1763881200,2.0367,2.0403,2.0277,2.037,2565194.9
1763882100,2.037,2.038,2.0166,2.0193,2390342.9
1763883000,2.0192,2.0293,2.0165,2.0269,1452274.6
1763883900,2.0269,2.0275,2.0204,2.0262,683160.9
1763884800,2.0263,2.0397,2.0263,2.0361,826844.4
1763885700,2.0361,2.0391,2.031,2.0323,684099.9
1763886600,2.0323,2.0357,2.0272,2.028,646125.1
1763887500,2.0281,2.0389,2.0279,2.0378,764388.3
1763888400,2.0378,2.0472,2.036,2.0455,879715.7
1763889300,2.0454,2.049,2.0385,2.0424,841455.9
1763890200,2.0424,2.0523,2.0424,2.0517,1164678.4
1763891100,2.0518,2.0522,2.0458,2.0464,704217.4
1763892000,2.0464,2.0484,2.0404,2.0413,781223.1
1763892900,2.0413,2.0417,2.0343,2.0357,986423.5
1763893800,2.0356,2.0394,2.0319,2.0385,751484.8
1763894700,2.0385,2.0414,2.0337,2.0348,519803.7
1763895600,2.0349,2.0349,2.0243,2.0278,842366.2
1763896500,2.0278,2.0327,2.0225,2.0281,744799.0
1763897400,2.0281,2.0338,2.0277,2.0321,387213.0
1763898300,2.0321,2.035,2.026,2.0312,705595.8
1763899200,2.0312,2.0442,2.0297,2.0431,1183479.8
1763900100,2.0431,2.0499,2.0399,2.0453,1752105.6
1763901000,2.0453,2.0496,2.0368,2.0412,1311291.4
1763901900,2.0412,2.0447,2.038,2.0424,645243.9
1763902800,2.0425,2.0479,2.0349,2.0372,761373.0
1763903700,2.0373,2.0407,2.033,2.0365,675381.2
1763904600,2.0364,2.0422,2.0333,2.0406,666447.8
1763905500,2.0407,2.0502,2.0387,2.0492,1357578.1
1763906400,2.0491,2.063,2.0474,2.0482,2725174.1
1763907300,2.0482,2.057,2.0466,2.0555,876838.9
1763908200,2.0554,2.061,2.0479,2.049,2103281.3
1763909100,2.0489,2.0515,2.0375,2.0399,1841128.2
1763910000,2.0399,2.0504,2.0361,2.0471,1459582.2
1763910900,2.047,2.0571,2.0456,2.0538,1265962.8
1763911800,2.0538,2.0653,2.0501,2.0626,3701560.0
1763912700,2.0627,2.0663,2.0571,2.0625,2101455.4
1763913600,2.0624,2.0738,2.0624,2.067,1828514.3
1763914500,2.067,2.0728,2.0631,2.068,910695.4
1763915400,2.0681,2.0803,2.0655,2.0754,1656571.5
1763916300,2.0754,2.0781,2.0517,2.0539,1877423.2
1763917200,2.054,2.0572,2.0462,2.0488,1427272.3
1763918100,2.0488,2.054,2.0416,2.053,954299.4
1763919000,2.0529,2.0554,2.0471,2.0541,794113.1
1763919900,2.0541,2.0541,2.0404,2.0463,813755.6
1763920800,2.0462,2.0533,2.0454,2.0533,830710.0
1763921700,2.0533,2.0659,2.0527,2.0637,1268386.9
1763922600,2.0637,2.0745,2.0625,2.0703,1594854.3
1763923500,2.0704,2.0718,2.0588,2.0622,1135106.3
1763924400,2.0622,2.0667,2.0579,2.0655,773767.4
1763925300,2.0655,2.0773,2.063,2.0712,1009042.7
1763926200,2.0711,2.0789,2.071,2.0751,545092.5
1763927100,2.0751,2.08,2.0725,2.0749,1465256.4
1763928000,2.0749,2.0781,2.068,2.0769,1238326.4
1763928900,2.077,2.0846,2.0702,2.0715,1757417.8
1763929800,2.0715,2.074,2.0661,2.0682,692551.7
1763930700,2.0682,2.0727,2.068,2.0686,488468.5
1763931600,2.0687,2.0687,2.0549,2.0593,880902.0
1763932500,2.0593,2.0734,2.0582,2.0723,595790.4
1763933400,2.0724,2.0759,2.0676,2.0718,667734.9
1763934300,2.0718,2.0819,2.07,2.0791,731591.8
1763935200,2.0791,2.0831,2.0645,2.0673,1121753.5
1763936100,2.0673,2.0742,2.0597,2.0731,1335283.6
1763937000,2.073,2.0754,2.0678,2.0733,972795.4
1763937900,2.0733,2.0786,2.0721,2.0748,500803.6
1763938800,2.0748,2.0775,2.052,2.0522,1676975.3
1763939700,2.0523,2.0581,2.0459,2.0551,2292153.8
1763940600,2.0551,2.056,2.0453,2.0491,1179518.7
