timestamp,open,high,low,close,volume
1763830800,2755.49,2756.0,2744.97,2751.49,2428.7215
1763831700,2751.49,2758.44,2748.61,2756.49,1512.3402
1763832600,2756.49,2757.31,2746.97,2749.21,1740.9209
1763833500,2749.21,2752.0,2745.34,2750.01,1487.1875
1763834400,2750.02,2754.89,2746.49,2752.07,1824.1365
1763835300,2752.07,2752.5,2748.05,2750.93,1164.3791
1763836200,2750.94,2751.32,2743.02,2750.03,2816.8332
1763837100,2750.02,2754.69,2747.63,2752.5,1228.9868
1763838000,2752.5,2757.5,2748.47,2753.2,1369.8094
1763838900,2753.19,2755.87,2748.31,2750.92,943.117
1763839800,2750.93,2752.5,2744.85,2747.61,1186.5808
1763840700,2747.62,2754.03,2746.49,2750.65,978.713
1763841600,2750.65,2756.87,2750.09,2755.8,1887.4546
1763842500,2755.8,2756.59,2751.06,2754.72,693.2969
1763843400,2754.72,2754.84,2743.01,2743.21,1376.9087
1763844300,2743.21,2745.47,2733.72,2741.26,2227.559
1763845200,2741.26,2745.74,2737.02,2739.74,1907.0887
1763846100,2739.75,2748.33,2739.49,2746.12,752.4174
1763847000,2746.11,2748.0,2742.28,2746.35,771.691
1763847900,2746.36,2748.62,2744.35,2747.5,1163.7121
1763848800,2747.5,2757.64,2741.85,2757.38,1664.9376
1763849700,2757.38,2768.25,2756.13,2759.38,3769.6858
1763850600,2759.37,2768.49,2757.47,2768.48,2755.08
1763851500,2768.48,2799.01,2765.01,2789.27,10705.9004
1763852400,2789.26,2793.45,2776.59,2783.31,3925.0335
1763853300,2783.31,2783.95,2767.62,2778.3,2929.3529
1763854200,2778.3,2781.23,2768.69,2771.93,2285.8382
1763855100,2771.92,2773.99,2767.62,2770.12,1467.1039
1763856000,2770.12,2781.0,2768.29,2779.09,2374.6474
1763856900,2779.13,2789.41,2776.83,2780.61,3571.6679
1763857800,2780.6,2781.28,2770.61,2774.87,3606.7264
1763858700,2774.86,2776.85,2768.32,2772.99,1297.0305
1763859600,2773.0,2784.84,2771.93,2783.62,1892.7842
1763860500,2783.63,2792.61,2780.53,2787.59,7225.7334
1763861400,2787.59,2805.7,2785.18,2803.23,7073.6345
1763862300,2803.23,2815.73,2799.24,2808.44,7277.985
1763863200,2808.45,2819.27,2804.37,2810.65,6131.6091
1763864100,2810.65,2825.21,2807.49,2818.59,4542.3446
1763865000,2818.58,2834.33,2817.9,2828.08,7774.4486
1763865900,2828.07,2832.18,2819.88,2821.12,5148.2962
1763866800,2821.12,2822.86,2809.73,2813.7,3956.1608
1763867700,2813.7,2817.87,2810.17,2813.89,1937.9923
1763868600,2813.88,2822.2,2811.59,2819.1,2010.5358
1763869500,2819.1,2824.95,2816.89,2824.77,2060.4805
1763870400,2824.77,2835.03,2819.76,2834.16,4158.4506
1763871300,2834.16,2852.17,2828.29,2828.73,11789.7157
1763872200,2828.76,2831.94,2821.77,2822.25,4823.221
1763873100,2822.25,2835.08,2820.85,2827.76,5339.3869
1763874000,2827.77,2831.25,2823.99,2830.31,3640.9858
1763874900,2830.31,2831.39,2824.0,2824.35,4225.6709
1763875800,2824.35,2824.35,2813.1,2817.47,10148.577
1763876700,2817.46,2827.47,2817.46,2825.35,2777.783
1763877600,2825.35,2832.47,2823.19,2825.27,2173.803
1763878500,2825.28,2827.83,2820.0,2820.83,6598.8918
1763879400,2820.83,2821.28,2806.0,2811.7,5728.9987
1763880300,2811.71,2815.09,2808.0,2810.33,2820.0886
1763881200,2810.34,2812.34,2794.0,2804.13,9230.9557
1763882100,2804.12,2804.56,2777.2,2782.18,15816.5604
1763883000,2782.18,2793.47,2780.15,2792.17,4580.3448
1763883900,2792.17,2794.83,2788.68,2793.7,2175.7265
1763884800,2793.7,2806.57,2793.69,2802.59,3068.35
1763885700,2802.58,2808.89,2799.06,2807.14,1858.3636
1763886600,2807.15,2810.45,2803.16,2803.63,1427.6641
1763887500,2803.64,2815.73,2803.64,2811.53,2815.6158
1763888400,2811.53,2812.05,2807.24,2810.93,1064.6043
1763889300,2810.92,2815.77,2807.35,2809.55,1780.592
